school,city,state,zip
Scenic Park Elementary ,Anchorage ,AK ,99504-4566 
Gavilan Peak School,Anthem ,AZ ,85086-4955 
Tarwater Elementary,Chandler ,AZ ,85286-8349 
Coronado Elementary School,Gilbert ,AZ ,85297-8973 
Desert Sage School,Glendale ,AZ ,85310-3304 
Arizona Language Preparatory,Phoenix ,AZ ,85032
Whispering Winds Academy,Phoenix ,AZ ,85032-4124 
Desert Canyon Elementary ,Scottsdale ,AZ ,85255-8600 
Gavilan Peak School,Tucson ,AZ ,85718-5521 
International School of Tucson,Tucson ,AZ ,85719-3746 
Mesquite Elementary,Tucson ,AZ ,85747-6300 
Bell Tower School,Alhambra ,CA,91801
Theodore Roosevelt Elementary School,Anaheim,CA,92805
Springbridge International School ,Campbell,CA,95008
Hidden Trails Elementary School,Chino Hills,CA,91709
Pacific Academy,Costa Mesa ,CA,92626
Philistine Rondo School of Discovery,Eastvale,CA,92880
Rondo School of Discovery,Eastvale,CA,92880
New Lexington School ,El Monte,CA,91733
New Lexington School ,El Monte,CA,91733
Betty Reid Soskin Middle School,El Sobrante,CA,94803
Balboa School,Escondido,CA,92025
Hopkins Junior High,Fremont ,CA,94539
Mission San Jose High School,Fremont ,CA,94539
Bret Harte Middle School,Hayward ,CA,94541
Irvine International Academy,Irvine ,CA,92604
Irvine International Academy,Irvine ,CA,92604
Pacific Academy,Irvine ,CA,92604
Irvine Chinese Immersion Academy,Irvine ,CA,92620
Irvine Chinese Immersion Academy,Irvine ,CA,92620
Florence Nightingale Middle School ,Los Angeles ,CA,90065
Mark Twain Middle School,Los Angeles ,CA,90066
Venice High School,Los Angeles ,CA,90066
Robert Randall Elementary ,Milpitas,CA,95035
Santa Fe Computer Science Magnet School,Monrovia ,CA,91016
Montera Elementary School,Montclair,CA,90280
Silicon Valley International School,Palo Alto ,CA,94303
Cornerstone ,Palo Alto ,CA,94306
Cornerstone  ,Palo Alto ,CA,94306
Pasadena High School,Pasadena ,CA,91007
Sierra Madre Middle School,Pasadena ,CA,91024
Sierra Madre Middle School,Pasadena ,CA,91024
Kennedy Middle School,Redwood City ,CA,94061
Orion Alternative School (was John Gill Elementary),Redwood City ,CA,94062
Encinita Elementary School,Rosemead,CA,91770
Shelyn Elementary School,Rowland Heights,CA,91748
Mission Bay High School,San Diego ,CA,92109
Pacific Beach Middle School ,San Diego ,CA,92109
Adobe Bluffs Elementary School,San Diego ,CA,92129
Bertrand Hsu American & Chinese Bicultural Academy,San Francisco,CA,94107
Stratford School,San Francisco,CA,94118
