university,city,state,level
University of Alaska Fairbanks,Fairbanks,AK,R2
Auburn University,Auburn,AL,R1
University of Alabama at Birmingham,Birmingham,AL,R1
University of Alabama in Huntsville,Huntsville,AL,R1
University of South Alabama,Mobile,AL,R2
University of Alabama,Tuscaloosa,AL,R1
University of Arkansas,Fayetteville,AR,R1
Arkansas State University,Jonesboro,AR,R2
University of Arkansas at Little Rock,Little Rock,AR,R2
Northern Arizona University,Flagstaff,AZ,R2
Arizona State University Digital Immersion,Scottsdale,AZ,R2
Arizona State University,Tempe,AZ,R1
University of Arizona,Tucson,AZ,R1
Azusa Pacific University,Azusa,CA,R2
"University of California, Berkeley",Berkeley,CA,R1
Claremont Graduate University,Claremont,CA,R2
"University of California, Davis",Davis,CA,R1
"California State University, Fresno",Fresno,CA,R2
"California State University, Fullerton",Fullerton,CA,R2
"California State University, East Bay",Hayward,CA,R2
"University of California, Irvine",Irvine,CA,R1
Loma Linda University,Loma Linda,CA,R2
"California State University, Long Beach",Long Beach,CA,R2
"University of California, Los Angeles",Los Angeles,CA,R1
University of Southern California,Los Angeles,CA,R1
Loyola Marymount University,Los Angeles,CA,R2
"University of California, Merced",Merced,CA,R2
Chapman University,Orange,CA,R2
California Institute of Technology,Pasadena,CA,R1
"University of California, Riverside",Riverside,CA,R1
"California State University, San Bernardino",San Bernardino,CA,R2
"University of California, San Diego",San Diego,CA,R1
San Diego State University,San Diego,CA,R2
University of San Diego,San Diego,CA,R2
San Francisco State University,San Francisco,CA,R2
"University of California, Santa Barbara",Santa Barbara,CA,R1
"University of California, Santa Cruz",Santa Cruz,CA,R1
Stanford University,Stanford,CA,R1
University of Colorado Boulder,Boulder,CO,R1
University of Colorado Colorado Springs,Colorado Springs,CO,R2
University of Colorado Denver,Denver,CO,R1
University of Denver,Denver,CO,R1
Colorado State University,Fort Collins,CO,R1
Colorado School of Mines,Golden,CO,R1
Yale University,New Haven,CT,R1
University of Connecticut,Storrs,CT,R1
American University,Washington,DC,R2
Catholic University of America,Washington,DC,R2
Howard University,Washington,DC,R2
George Washington University,"Washington, D.C.",DC,R1
Georgetown University,"Washington, D.C.",DC,R1
University of Delaware,Newark,DE,R1
Florida Atlantic University,Boca Raton,FL,R2
University of Miami,Coral Gables,FL,R1
Nova Southeastern University,Fort Lauderdale,FL,R2
University of Florida,Gainesville,FL,R1
University of North Florida,Jacksonville,FL,R2
Florida Institute of Technology,Melbourne,FL,R2
Florida International University,Miami,FL,R1
University of Central Florida,Orlando,FL,R1
Florida State University,Tallahassee,FL,R1
Florida Agricultural and Mechanical University,Tallahassee,FL,R2
University of South Florida,Tampa,FL,R1
University of Georgia,Athens,GA,R1
Emory University,Atlanta,GA,R1
Georgia Institute of Technology,Atlanta,GA,R1
Georgia State University,Atlanta,GA,R1
Clark Atlanta University,Atlanta,GA,R2
Augusta University,Augusta,GA,R2
Kennesaw State University,Kennesaw,GA,R2
Mercer University,Macon,GA,R2
Georgia Southern University,Statesboro,GA,R2
University of Hawaii at Manoa,Honolulu,HI,R1
Iowa State University,Ames,IA,R1
University of Iowa,Iowa City,IA,R1
Boise State University,Boise,ID,R2
University of Idaho,Moscow,ID,R2
Idaho State University,Pocatello,ID,R2
Southern Illinois University Carbondale,Carbondale,IL,R2
University of Illinois Urbana-Champaign,Champaign,IL,R1
University of Chicago,Chicago,IL,R1
University of Illinois Chicago,Chicago,IL,R1
DePaul University,Chicago,IL,R2
Illinois Institute of Technology,Chicago,IL,R2
Loyola University Chicago,Chicago,IL,R2
Northern Illinois University,Dekalb,IL,R2
Northwestern University,Evanston,IL,R1
Illinois State University,Normal,IL,R2
Indiana University Bloomington,Bloomington,IN,R1
Indiana University – Purdue University Indianapolis,Indianapolis,IN,R2
Ball State University,Muncie,IN,R2
University of Notre Dame,Notre Dame,IN,R1
Purdue University,West Lafayette,IN,R1
University of Kansas,Lawrence,KS,R1
Kansas State University,Manhattan,KS,R1
Wichita State University,Wichita,KS,R2
University of Kentucky,Lexington,KY,R1
University of Louisville,Louisville,KY,R1
Louisiana State University,Baton Rouge,LA,R1
Southern University,Baton Rouge,LA,R2
University of Louisiana at Lafayette,Lafayette,LA,R1
Tulane University,New Orleans,LA,R1
University of New Orleans,New Orleans,LA,R2
Louisiana Tech University,Ruston,LA,R2
